age,job,marital,education,balance,housing,loan,contact,campaign,deposit
40,retired,single,primary,39651,no,yes,cellular,5,no
56,retired,married,secondary,31793,no,yes,telephone,4,no
62,admin,divorced,secondary,10197,yes,yes,telephone,4,yes
32,technician,married,tertiary,1359,no,no,telephone,2,no
60,management,married,tertiary,36025,yes,no,cellular,9,no
46,retired,divorced,secondary,33719,no,yes,cellular,5,no
53,technician,single,tertiary,5389,yes,yes,cellular,3,no
30,student,married,tertiary,45434,yes,no,cellular,6,no
49,services,married,tertiary,12952,yes,no,telephone,9,no
24,retired,divorced,tertiary,27075,yes,no,telephone,9,no
68,student,divorced,tertiary,16939,no,no,telephone,5,no
39,management,divorced,secondary,44995,no,yes,cellular,8,yes
45,services,divorced,tertiary,48302,yes,yes,cellular,4,yes
19,services,divorced,primary,13624,yes,yes,cellular,5,no
59,management,divorced,secondary,-265,no,no,telephone,7,no
62,retired,single,secondary,22315,yes,no,telephone,7,no
23,admin,married,secondary,15422,yes,yes,telephone,7,no
45,management,single,tertiary,37137,no,no,cellular,8,no
45,management,single,primary,5127,yes,yes,cellular,5,no
61,management,divorced,tertiary,33680,yes,no,telephone,1,no
61,services,married,secondary,46232,no,yes,cellular,9,yes
37,entrepreneur,single,secondary,10606,yes,yes,telephone,9,no
47,technician,divorced,secondary,30743,no,yes,telephone,7,no
28,student,divorced,secondary,32010,no,yes,cellular,6,no
45,admin,married,tertiary,13636,no,no,telephone,5,no
42,retired,single,primary,23348,no,yes,telephone,5,no
56,retired,single,primary,8108,yes,yes,telephone,3,no
50,student,single,secondary,6098,no,yes,telephone,1,yes
18,technician,divorced,primary,34180,no,yes,telephone,6,yes
44,management,married,secondary,16883,yes,no,cellular,8,no
69,entrepreneur,married,secondary,42400,no,yes,telephone,2,no
30,admin,single,primary,43999,yes,yes,cellular,8,no
58,retired,divorced,secondary,45951,no,no,telephone,8,no
20,student,single,primary,5160,no,yes,cellular,8,no
56,blue-collar,married,secondary,17929,no,yes,cellular,3,no
23,entrepreneur,divorced,primary,15597,no,yes,cellular,8,no
25,student,single,secondary,9123,yes,yes,telephone,4,no
44,entrepreneur,single,primary,47570,yes,no,cellular,3,no
26,retired,divorced,secondary,26357,yes,no,telephone,9,no
54,management,married,secondary,2960,no,no,telephone,8,no
50,blue-collar,divorced,secondary,31556,no,no,cellular,2,no
68,technician,single,primary,16255,no,no,cellular,8,no
59,admin,single,tertiary,11350,yes,no,telephone,3,no
61,technician,single,secondary,28881,no,yes,telephone,6,no
41,technician,single,secondary,16409,yes,yes,telephone,5,yes
32,student,married,primary,30635,yes,yes,cellular,8,no
49,entrepreneur,married,secondary,446,yes,yes,telephone,9,no
49,admin,single,secondary,28657,no,no,telephone,7,no
41,admin,married,secondary,19207,no,yes,telephone,6,no
58,retired,married,secondary,46951,no,yes,telephone,6,no
69,retired,married,tertiary,6752,no,no,telephone,1,no
66,admin,single,tertiary,49803,yes,yes,telephone,5,no
66,blue-collar,divorced,secondary,11440,yes,yes,telephone,8,no
69,services,divorced,secondary,42864,no,no,telephone,6,no
29,retired,divorced,secondary,47691,no,yes,telephone,1,yes
56,services,single,tertiary,4499,no,yes,telephone,5,no
19,student,married,tertiary,19139,yes,no,telephone,5,no
20,blue-collar,married,primary,12767,no,yes,telephone,3,no
66,admin,single,primary,20343,yes,yes,cellular,8,no
54,blue-collar,single,secondary,25712,yes,yes,telephone,9,no
66,retired,divorced,secondary,17673,yes,yes,telephone,6,no
34,technician,divorced,tertiary,27488,yes,yes,telephone,6,no
66,student,single,secondary,24520,yes,no,telephone,2,no
19,admin,divorced,secondary,42105,yes,yes,telephone,2,no
19,management,married,tertiary,46587,yes,yes,cellular,6,no
45,student,single,tertiary,13784,no,yes,telephone,8,no
40,entrepreneur,single,tertiary,49910,no,no,cellular,2,no
54,services,married,tertiary,36079,no,no,telephone,9,no
49,blue-collar,married,primary,42220,yes,no,cellular,9,no
50,admin,married,tertiary,18491,yes,yes,cellular,4,no
18,student,divorced,tertiary,45342,no,yes,telephone,4,no
36,blue-collar,single,secondary,49047,yes,yes,cellular,4,yes
19,admin,divorced,secondary,46720,yes,yes,cellular,5,no
61,retired,married,secondary,33268,yes,yes,telephone,8,yes
43,student,divorced,primary,12718,yes,no,cellular,2,no
49,retired,married,tertiary,33597,yes,yes,cellular,5,no
23,student,divorced,tertiary,30815,yes,yes,cellular,2,no
49,retired,divorced,primary,33132,yes,no,telephone,8,no
21,entrepreneur,married,tertiary,24832,yes,no,telephone,1,yes
28,blue-collar,divorced,secondary,29862,yes,no,telephone,7,no
34,management,single,primary,10864,yes,no,telephone,3,no
55,student,divorced,tertiary,20842,yes,no,cellular,4,yes
41,entrepreneur,divorced,primary,6177,yes,yes,telephone,8,no
22,student,single,primary,44115,no,yes,cellular,3,no
69,retired,married,tertiary,38699,yes,yes,telephone,7,no
51,admin,single,secondary,49954,yes,yes,telephone,1,no
23,student,divorced,tertiary,43609,no,yes,cellular,9,no
39,entrepreneur,married,tertiary,9844,no,no,cellular,6,no
28,retired,divorced,secondary,6594,no,yes,telephone,3,no
65,technician,divorced,tertiary,11418,yes,yes,telephone,7,no
33,retired,single,tertiary,32854,yes,no,telephone,5,yes
50,blue-collar,single,tertiary,21108,no,no,telephone,8,no
26,management,married,primary,8419,no,yes,telephone,8,no
23,technician,married,primary,20539,no,yes,cellular,9,yes
33,blue-collar,married,primary,42370,yes,no,telephone,6,no
46,blue-collar,divorced,tertiary,41950,yes,yes,cellular,4,no
20,blue-collar,single,secondary,10835,no,no,telephone,2,yes
37,admin,single,primary,15533,yes,yes,telephone,3,yes
53,blue-collar,single,secondary,47214,yes,no,cellular,5,yes
36,admin,married,tertiary,27515,no,no,telephone,8,no
43,blue-collar,single,primary,33921,no,no,cellular,2,no
20,services,single,tertiary,39968,no,yes,cellular,5,no
36,entrepreneur,single,secondary,20322,yes,no,telephone,9,no
37,technician,married,primary,8223,yes,no,cellular,2,no
49,services,single,primary,8273,yes,yes,telephone,8,no
24,blue-collar,married,primary,31519,yes,yes,telephone,3,no
69,technician,single,primary,22160,yes,yes,telephone,8,no
58,technician,single,secondary,6849,no,no,telephone,4,no
50,student,single,primary,47852,yes,no,telephone,4,no
57,management,married,tertiary,23656,yes,no,telephone,7,no
56,services,married,primary,46988,no,yes,telephone,5,no
35,management,single,secondary,8348,no,yes,cellular,4,no
57,technician,divorced,primary,15924,no,no,telephone,7,no
18,admin,married,secondary,36935,no,yes,cellular,3,yes
28,technician,married,secondary,37132,yes,yes,telephone,9,yes
45,management,single,tertiary,-17,yes,no,telephone,5,no
42,services,divorced,primary,22890,no,no,cellular,3,no
67,blue-collar,single,primary,12629,yes,yes,cellular,2,no
40,student,married,primary,47056,no,no,cellular,7,no
48,student,married,tertiary,9273,yes,yes,cellular,7,no
47,student,single,tertiary,29739,yes,yes,telephone,5,no
59,blue-collar,single,secondary,38416,yes,no,telephone,4,no
52,student,divorced,secondary,5894,no,no,cellular,2,no
24,services,divorced,secondary,44073,no,yes,telephone,2,no
33,blue-collar,married,tertiary,43693,yes,yes,cellular,7,no
43,student,divorced,tertiary,49466,yes,no,cellular,7,no
65,blue-collar,divorced,tertiary,22343,no,yes,cellular,4,no
69,management,married,secondary,41095,no,yes,cellular,4,no
66,entrepreneur,married,tertiary,29174,yes,yes,cellular,4,no
19,entrepreneur,married,secondary,48801,yes,yes,telephone,2,no
18,services,married,secondary,42179,no,yes,cellular,9,no
65,retired,single,primary,4900,yes,no,cellular,1,no
29,admin,married,primary,46905,no,yes,telephone,8,no
22,student,married,primary,1800,no,yes,cellular,6,no
54,admin,married,secondary,33246,yes,no,cellular,7,no
49,blue-collar,divorced,primary,40735,yes,no,telephone,5,yes
26,admin,married,primary,40926,yes,no,telephone,6,yes
58,services,single,primary,5054,no,yes,telephone,6,yes
52,services,single,tertiary,36827,no,yes,telephone,9,yes
36,technician,married,secondary,40727,no,no,telephone,4,no
65,entrepreneur,single,primary,42775,yes,no,cellular,5,no
33,student,divorced,tertiary,39201,yes,no,cellular,4,no
20,technician,married,tertiary,27373,no,no,cellular,1,yes
37,admin,single,tertiary,25525,no,no,telephone,6,no
41,retired,single,primary,36977,yes,yes,telephone,5,no
50,technician,married,tertiary,5115,no,no,telephone,4,no
41,technician,single,secondary,29107,yes,yes,telephone,6,yes
69,services,married,tertiary,28486,yes,yes,telephone,5,no
28,retired,single,tertiary,11068,no,no,telephone,3,no
66,blue-collar,divorced,tertiary,16640,no,no,cellular,2,yes
25,admin,single,tertiary,30158,no,no,telephone,6,no
53,technician,single,secondary,34136,no,no,cellular,4,no
55,retired,married,primary,14128,no,no,cellular,3,no
57,entrepreneur,single,secondary,22942,yes,yes,cellular,8,no
37,student,married,secondary,827,no,no,telephone,9,no
52,retired,divorced,primary,13990,yes,no,telephone,7,no
65,entrepreneur,married,tertiary,33255,no,yes,telephone,2,yes
42,admin,married,primary,17987,no,no,telephone,8,no
52,retired,single,primary,44115,no,no,telephone,5,no
42,entrepreneur,divorced,secondary,18901,no,no,cellular,7,no
46,retired,married,primary,14277,no,yes,cellular,5,no
35,retired,single,tertiary,-357,no,no,telephone,2,no
63,student,single,secondary,48364,yes,no,cellular,4,no
35,entrepreneur,married,tertiary,21729,no,no,cellular,5,no
19,entrepreneur,single,secondary,19087,no,no,telephone,6,no
52,technician,married,tertiary,19818,no,yes,cellular,5,no
33,admin,married,primary,-1981,no,no,cellular,1,yes
58,student,married,primary,31443,yes,yes,telephone,1,no
53,retired,divorced,primary,47760,yes,no,cellular,3,no
50,retired,married,tertiary,47213,yes,no,telephone,9,no
21,technician,single,secondary,7457,yes,no,telephone,2,no
50,admin,divorced,secondary,31922,yes,yes,telephone,5,no
31,services,single,secondary,7820,yes,no,cellular,9,no
38,student,divorced,primary,30750,no,no,cellular,7,no
65,technician,divorced,tertiary,40586,no,yes,cellular,8,no
37,admin,divorced,secondary,34484,yes,no,telephone,2,yes
25,student,divorced,tertiary,36010,no,no,cellular,5,no
24,retired,single,secondary,35790,no,no,cellular,9,no
20,admin,married,primary,20869,no,no,telephone,1,no
34,admin,single,tertiary,48594,no,yes,telephone,1,no
50,blue-collar,married,secondary,32421,no,yes,telephone,8,no
65,admin,single,secondary,502,yes,yes,cellular,2,no
29,services,divorced,secondary,14665,yes,no,telephone,9,no
68,admin,divorced,secondary,23600,yes,no,cellular,9,no
39,services,married,primary,27394,yes,no,telephone,4,no
39,retired,married,secondary,12086,yes,no,telephone,2,yes
63,services,single,secondary,34171,yes,yes,telephone,3,no
47,student,married,primary,32003,no,no,telephone,1,no
55,retired,single,secondary,11149,yes,yes,cellular,3,no
55,retired,married,tertiary,28394,no,no,cellular,5,no
62,services,married,tertiary,12396,no,no,cellular,3,yes
68,entrepreneur,married,secondary,21324,yes,yes,telephone,3,no
25,technician,divorced,primary,45198,yes,no,cellular,6,no
44,management,divorced,primary,15169,yes,yes,telephone,3,no
44,entrepreneur,single,primary,44632,no,yes,telephone,3,no
51,admin,married,secondary,46274,yes,no,cellular,9,no
38,blue-collar,single,secondary,42277,yes,yes,telephone,2,no
47,management,married,tertiary,24243,yes,yes,telephone,1,no
50,admin,divorced,primary,29016,no,no,cellular,8,yes
45,entrepreneur,divorced,secondary,1194,yes,yes,cellular,3,no
64,entrepreneur,married,secondary,30398,yes,yes,telephone,7,no
50,admin,married,secondary,2789,no,no,cellular,2,yes
22,retired,divorced,primary,18159,no,yes,telephone,8,no
65,admin,divorced,primary,41406,no,no,cellular,9,no
36,blue-collar,single,tertiary,3350,yes,yes,telephone,8,yes
21,entrepreneur,divorced,primary,31301,yes,no,telephone,8,no
52,admin,married,secondary,22977,no,no,telephone,8,yes
66,services,single,tertiary,34431,yes,no,cellular,7,no
34,management,married,primary,-1871,no,no,cellular,2,no
61,services,single,primary,43331,no,no,telephone,8,yes
45,blue-collar,married,primary,32626,no,yes,cellular,5,no
47,admin,divorced,primary,46503,no,no,cellular,6,no
46,student,married,secondary,25549,no,no,cellular,4,no
63,blue-collar,single,primary,10342,yes,yes,telephone,1,no
23,retired,married,secondary,34417,yes,no,cellular,5,no
52,services,single,secondary,8978,yes,yes,cellular,3,no
58,services,married,secondary,35628,yes,yes,cellular,9,no
54,technician,divorced,tertiary,40180,no,no,telephone,4,no
41,admin,divorced,secondary,6833,yes,yes,telephone,2,no
46,retired,married,primary,44903,no,yes,telephone,4,no
66,student,married,tertiary,31491,no,yes,cellular,3,no
63,services,married,primary,27473,yes,no,telephone,3,no
48,services,single,secondary,-1263,yes,yes,cellular,5,yes
52,retired,married,primary,27429,no,no,cellular,1,no
50,blue-collar,married,tertiary,44647,yes,no,telephone,5,no
69,blue-collar,single,tertiary,-701,yes,yes,cellular,8,no
38,admin,divorced,primary,-1661,yes,no,telephone,9,no
49,entrepreneur,married,primary,30920,yes,yes,cellular,1,no
40,technician,married,primary,40381,no,yes,cellular,2,no
50,services,divorced,tertiary,44523,no,no,cellular,2,no
20,entrepreneur,divorced,secondary,46750,yes,no,cellular,6,no
35,entrepreneur,single,primary,17435,no,no,cellular,1,no
42,technician,married,secondary,31194,no,yes,telephone,1,yes
59,entrepreneur,married,tertiary,22509,yes,yes,telephone,2,no
48,entrepreneur,single,primary,40095,yes,yes,telephone,4,no
20,blue-collar,divorced,primary,49524,no,no,telephone,2,no
57,blue-collar,single,tertiary,42289,no,yes,cellular,4,no
63,management,divorced,primary,48101,no,yes,cellular,3,yes
41,student,single,secondary,-627,yes,yes,telephone,3,no
67,admin,divorced,tertiary,5082,no,yes,telephone,9,yes
49,entrepreneur,single,tertiary,23532,no,no,cellular,8,no
64,management,divorced,primary,40661,yes,yes,telephone,9,yes
39,student,divorced,tertiary,16866,no,no,cellular,1,no
40,management,divorced,primary,5593,yes,yes,cellular,5,no
19,management,divorced,primary,7495,yes,yes,telephone,4,no
44,admin,divorced,tertiary,47522,no,yes,cellular,9,no
59,admin,married,primary,5837,yes,no,cellular,3,no
19,retired,divorced,secondary,9172,yes,no,telephone,5,no
43,technician,married,secondary,16680,no,no,telephone,8,yes
34,technician,divorced,primary,28346,yes,yes,cellular,5,no
57,retired,married,secondary,41085,no,yes,telephone,9,yes
50,retired,married,primary,21412,yes,no,cellular,2,no
26,blue-collar,single,secondary,20863,yes,yes,telephone,6,no
60,student,divorced,tertiary,28804,no,yes,cellular,5,no
65,management,single,primary,8934,no,no,cellular,9,no
56,entrepreneur,single,primary,28723,no,yes,cellular,7,no
46,retired,divorced,primary,18405,yes,yes,cellular,8,no
59,services,single,primary,16748,no,yes,cellular,7,yes
43,technician,divorced,primary,3230,yes,no,cellular,5,no
52,retired,single,primary,44413,no,yes,cellular,5,no
67,services,divorced,tertiary,20354,yes,no,cellular,4,no
42,services,divorced,tertiary,6954,no,yes,cellular,2,yes
41,services,divorced,secondary,21139,yes,no,telephone,9,no
30,blue-collar,married,primary,43022,no,no,cellular,3,no
24,blue-collar,single,secondary,15388,yes,no,telephone,3,no
53,entrepreneur,married,secondary,37825,yes,no,telephone,3,no
62,entrepreneur,single,tertiary,34523,yes,yes,telephone,8,no
37,services,single,secondary,33614,yes,no,cellular,6,yes
18,student,single,tertiary,33732,no,yes,cellular,1,yes
25,blue-collar,married,secondary,39646,yes,yes,telephone,3,no
63,management,single,primary,19021,no,no,cellular,4,no
33,services,married,secondary,25702,yes,yes,cellular,2,no
31,management,divorced,tertiary,43416,no,yes,cellular,6,yes
29,management,single,tertiary,33523,yes,yes,cellular,1,no
68,services,single,tertiary,17116,yes,yes,cellular,1,no
40,technician,divorced,secondary,4473,no,no,cellular,8,no
32,student,divorced,secondary,45322,no,yes,telephone,4,no
45,services,single,tertiary,20735,yes,yes,telephone,1,no
51,entrepreneur,divorced,primary,32461,no,yes,telephone,7,no
19,services,married,primary,9084,no,yes,telephone,9,no
49,blue-collar,married,secondary,42771,no,yes,telephone,7,no
40,services,single,secondary,26756,yes,no,cellular,1,yes
39,technician,married,tertiary,15068,no,yes,cellular,1,yes
68,blue-collar,married,secondary,26916,yes,no,cellular,1,no
42,entrepreneur,single,secondary,919,no,yes,telephone,8,yes
39,admin,divorced,tertiary,21550,no,no,telephone,7,no
39,admin,single,tertiary,34524,yes,yes,cellular,3,no
66,management,married,secondary,1283,no,yes,telephone,3,no
69,student,single,primary,2691,no,no,cellular,3,yes
59,management,single,secondary,21212,no,no,cellular,2,no
23,technician,married,primary,38118,no,no,cellular,4,no
32,retired,married,primary,26602,no,yes,telephone,7,yes
60,entrepreneur,single,primary,15540,no,no,telephone,9,no
54,student,married,tertiary,33829,no,no,cellular,3,no
50,entrepreneur,married,tertiary,3919,yes,no,cellular,7,no
25,admin,married,tertiary,20277,yes,yes,telephone,4,yes
61,management,married,secondary,15676,yes,yes,telephone,1,no
61,entrepreneur,married,tertiary,40844,yes,yes,telephone,5,no
22,admin,married,tertiary,7752,yes,no,telephone,8,no
56,technician,divorced,secondary,14012,no,yes,cellular,3,no
21,technician,single,secondary,7175,yes,yes,cellular,4,no
23,retired,married,primary,38670,yes,yes,telephone,3,yes
62,entrepreneur,single,secondary,67,no,yes,telephone,8,no
49,retired,divorced,secondary,29478,yes,no,telephone,8,no
69,blue-collar,married,tertiary,24439,no,yes,telephone,4,no
47,student,single,primary,32747,no,no,cellular,2,no
64,entrepreneur,married,primary,48888,yes,no,telephone,3,no
52,technician,married,secondary,27810,yes,no,telephone,3,no
57,management,married,tertiary,16302,no,no,cellular,4,no
69,admin,married,tertiary,-1300,no,no,telephone,2,no
33,services,married,tertiary,34814,yes,no,cellular,2,no
30,retired,married,tertiary,32841,no,yes,cellular,3,no
67,services,married,secondary,42713,yes,no,cellular,1,no
59,entrepreneur,divorced,tertiary,47546,yes,yes,telephone,8,yes
47,management,divorced,primary,1048,yes,no,cellular,6,no
36,retired,married,primary,31290,yes,yes,telephone,3,yes
34,services,married,secondary,9101,no,no,telephone,1,yes
36,student,divorced,tertiary,27778,no,yes,cellular,3,yes
45,management,divorced,tertiary,25425,yes,yes,cellular,1,no
43,admin,divorced,tertiary,39509,yes,no,cellular,3,yes
54,student,married,tertiary,15852,no,no,telephone,4,no
43,management,single,secondary,22500,no,no,telephone,6,yes
40,blue-collar,single,tertiary,10674,no,no,cellular,7,yes
26,retired,single,secondary,21195,no,yes,telephone,7,no
29,technician,single,tertiary,48573,no,yes,cellular,9,no
18,admin,married,tertiary,22371,yes,no,telephone,8,no
18,entrepreneur,single,primary,31053,yes,no,telephone,4,no
64,student,divorced,secondary,49897,yes,yes,telephone,6,yes
